index,price,retail_price,currency_code
9.78163E+12,3680.41,3680.41,INR
9.78113E+12,,,
9.78147E+12,,,
9.78047E+12,,,
9.78112E+12,470.82,329.57,INR
9.78114E+12,,,
9.78332E+12,4625.6,4625.6,INR
9.78152E+12,20445.05,20445.05,INR
9.78163E+12,4396.55,4396.55,INR
9.78163E+12,3322.71,3322.71,INR
9.78135E+12,4146.52,4146.52,INR
9.78145E+12,,,
9.78179E+12,2940.6,2940.6,INR
9.78153E+12,,,
9.78031E+12,3127.97,3127.97,INR
134633288,,,
9.78981E+12,16874,16874,INR
1516595769,,,
9.78112E+12,6313,6313,INR
9.78112E+12,,,
303121479X,,,
9.78007E+12,,,
9.78981E+12,10089,10089,INR
9.78304E+12,,,
9.78007E+12,7391.94,7391.94,INR
9.78178E+12,6471.12,6471.12,INR
9.78143E+12,,,
9.78152E+12,554450.25,554450.25,INR
1032474289,,,
1628250690,,,
9.7818E+12,5273.41,5273.41,INR
9.78026E+12,,,
359884865,,,
9.78152E+12,21905.41,21905.41,INR
9.78112E+12,,,
9.78007E+12,6159.81,6159.81,INR
9.78112E+12,,,
9.78191E+12,7057.43,7057.43,INR
3031242939,,,
9.78007E+12,6159.81,6159.81,INR
9.78142E+12,,,
9.781E+12,8406.32,8406.32,INR
9.78112E+12,,,
9.78026E+12,7806.05,7806.05,INR
9.78135E+12,4816,4816,INR
1788297237,,,
9.78152E+12,20931.84,20931.84,INR
9.78112E+12,,,
1111972281,,,
9.78007E+12,,,
1118582691,,,
1538834235,,,
1538834138,,,
253016282,,,
1547089296,,,
9.78129E+12,,,
1538834197,,,
9.78047E+12,4852.16,4852.16,INR
9.78152E+12,23852.56,23852.56,INR
9.78112E+12,,,
9.78007E+12,6864.12,6864.12,INR
9.7818E+12,2940.6,2940.6,INR
9.78043E+12,,,
9.7818E+12,2940.6,2940.6,INR
9.78149E+12,,,
9.78163E+12,8310.03,8310.03,INR
9.78112E+12,,,
9.78007E+12,4399.87,4399.87,INR
9.78165E+12,8310.86,8310.86,INR
9.78112E+12,,,
9.78179E+12,2822.97,2822.97,INR
9.78007E+12,6071.98,6071.98,INR
9.78007E+12,5279.84,5279.84,INR
9.78939E+12,755.2,377.6,INR
9.781E+12,4712.52,4712.52,INR
9.78161E+12,,,
9.78112E+12,,,
9.78935E+12,628.94,314.47,INR
9.78112E+12,3885.74,3885.74,INR
9.78141E+12,325.68,227.98,INR
9.78074E+12,,,
9.78112E+12,2358.82,2358.82,INR
9.78149E+12,,,
9.78131E+12,,,
9.78013E+12,,,
9.78112E+12,,,
9.78165E+12,1683,1683,INR
982917481,,,
9.78939E+12,660.8,330.4,INR
9.78936E+12,566.4,283.2,INR
9.78043E+12,4482.82,4482.82,INR
9.78007E+12,3959.88,3959.88,INR
9.78366E+12,4200.8,4200.8,INR
9.78053E+12,204.43,204.43,INR
9.78185E+12,400.02,280.01,INR
9.78165E+12,2561,2561,INR
9.781E+12,4819.12,4819.12,INR
9.78006E+12,,,
9.78112E+12,,,
136717136,,,
9.78146E+12,3363,3363,INR
9.78161E+12,,,
9.78332E+12,8401.6,8401.6,INR
9.78151E+12,,,
9.78112E+12,,,
9.78364E+12,15812,15812,INR
036757098X,,,
9.78007E+12,,,
71491287,6159.81,6159.81,INR
9.78126E+12,4399.87,4399.87,INR
9.78112E+12,824.82,412.41,INR
9082809176,,,
9.78364E+12,7563.8,7563.8,INR
9.78112E+12,3399.58,3399.58,INR
UOM:39015062820512,,,
9.78981E+12,7056.4,7056.4,INR
9.78007E+12,,,
9.78149E+12,,,
1439806012,6726,6726,INR
9.78112E+12,4078.08,4078.08,INR
9.78007E+12,5279.84,5279.84,INR
9.78114E+12,6301.2,6301.2,INR
1430237015,,,
1118031865,13743.46,13743.46,INR
9.78019E+12,363.88,254.72,INR
9.78144E+12,5182.06,5182.06,INR
9.78114E+12,1733,1733,INR
9.78164E+12,,,
1623155746,,,
9.78135E+12,5043.32,5043.32,INR
1540380033,,,
8417963146,,,
9.78114E+12,,,
9.78019E+12,1372.78,686.39,INR
9.78148E+12,12334.54,12334.54,INR
749497068,,,
9.78145E+12,2950,2950,INR
032106920X,,,
9.78026E+12,9757.77,9757.77,INR
9.78026E+12,,,
9.78112E+12,,,
9.78026E+12,,,
9.78026E+12,,,
9.78149E+12,3764.2,3764.2,INR
9.78149E+12,2513.4,2513.4,INR
9.78981E+12,13452,13452,INR
9.78332E+12,5463.4,5463.4,INR
1484228448,,,
9.78014E+12,2720.77,2720.77,INR
9.78164E+12,2624.32,2624.32,INR
9.78148E+12,,,
1617294438,,,
9.78026E+12,,,
9.78149E+12,2879.2,2879.2,INR
9811633568,,,
9.78149E+12,,,
9.78179E+12,997.09,498.54,INR
9.78179E+12,775.25,387.62,INR
9.78149E+12,,,
9.78172E+12,,,
9.78149E+12,4425,4425,INR
9.78148E+12,,,
9.78149E+12,4425,2508.97,INR
9.78332E+12,4200.8,4200.8,INR
9.78939E+12,706.82,353.41,INR
9.78179E+12,886.17,443.08,INR
9.78164E+12,2489.8,2489.8,INR
1492039837,,,
9.78149E+12,,,
9.78162E+12,,,
1617293709,,,
9.78179E+12,886.17,422.46,INR
9.78164E+12,3095.14,3095.14,INR
9.78179E+12,886.17,443.08,INR
9.78303E+12,12626,12626,INR
9.78981E+12,6726,6726,INR
9.78172E+12,7806.05,7806.05,INR
9.78162E+12,,,
9.78981E+12,7563.8,7563.8,INR
9.7818E+12,,,
1484249755,,,
9.78303E+12,9239.4,9239.4,INR
1491914254,,,
9.78939E+12,972.29,403.17,INR
9.78179E+12,886.17,443.08,INR
