index,page_count,print_type,avg_rating,rating_count,is_ebook
9.78E+12,298,BOOK,,,TRUE
1259641481,880,BOOK,,,FALSE
9.78E+12,390,BOOK,,,TRUE
9.78E+12,176,BOOK,,,FALSE
9.78E+12,304,BOOK,3,1,TRUE
9.78E+12,253,BOOK,,,FALSE
134057600,243,BOOK,,,FALSE
9.78E+12,302,BOOK,4,12,TRUE
3030437175,0,BOOK,,,FALSE
938604241X,268,BOOK,,,FALSE
9.78E+12,818,BOOK,,,TRUE
9.78E+12,562,BOOK,,,TRUE
1773610279,304,BOOK,,,FALSE
1543700527,222,BOOK,,,FALSE
9.78E+12,378,BOOK,,,TRUE
9.78E+12,272,BOOK,,,FALSE
9.78E+12,722,BOOK,,,FALSE
9.78E+12,651,BOOK,,,FALSE
9.78E+12,256,BOOK,,,TRUE
9.78E+12,336,BOOK,,,FALSE
9.78E+12,217,BOOK,,,TRUE
9.78E+12,323,BOOK,,,TRUE
9.78E+12,442,BOOK,5,1,TRUE
9.78E+12,206,BOOK,,,TRUE
9.78E+12,318,BOOK,,,TRUE
9.78E+12,440,BOOK,4,1,FALSE
9.78E+12,464,BOOK,,,TRUE
9.78E+12,0,BOOK,,,FALSE
9.78E+12,146,BOOK,,,TRUE
134633288,512,BOOK,1,1,FALSE
9.79E+12,681,BOOK,,,TRUE
1516595769,,BOOK,,,FALSE
9.78E+12,256,BOOK,,,TRUE
9.78E+12,264,BOOK,,,FALSE
303121479X,0,BOOK,,,FALSE
9.78E+12,577,BOOK,,,FALSE
9.79E+12,297,BOOK,,,TRUE
9.78E+12,416,BOOK,,,FALSE
9.78E+12,1088,BOOK,,,TRUE
9.78E+12,310,BOOK,,,TRUE
9.78E+12,298,BOOK,,,FALSE
9.78E+12,8104,BOOK,,,TRUE
1032474289,0,BOOK,,,FALSE
1628250690,206,BOOK,,,FALSE
9.78E+12,576,BOOK,,,TRUE
9.78E+12,308,BOOK,,,FALSE
359884865,0,BOOK,,,FALSE
9.78E+12,363,BOOK,,,TRUE
9.78E+12,720,BOOK,,,FALSE
9.78E+12,752,BOOK,,,TRUE
9.78E+12,456,BOOK,,,FALSE
9.78E+12,826,BOOK,,,TRUE
3031242939,0,BOOK,,,FALSE
9.78E+12,432,BOOK,,,TRUE
9.78E+12,224,BOOK,3,3,FALSE
9.78E+12,178,BOOK,,,TRUE
9.78E+12,432,BOOK,,,FALSE
